date,data_source,treatment_name,stp_ods_cd,stp_gss_cd,stp_name,reg_ods_cd,reg_gss_cd,reg_name,numerator,numerator_unit,denominator,denominator_unit
2021-03-31,Secondary Care,abemaciclib,QKS,E54000032,Kent and Medway STP,Y59,E40000005,South East,910,ADD,1868199,Population
2021-03-31,Secondary Care,abemaciclib,QM7,E54000025,Hertfordshire and West Essex STP,Y61,E40000007,East of England,1568,ADD,1488061,Population
2021-03-31,Secondary Care,abemaciclib,QMF,E54000029,East London Health & Care Partnership STP,Y56,E40000003,London,490,ADD,2036470,Population
2021-03-31,Secondary Care,abemaciclib,QMJ,E54000028,North London Partners in Health & Care STP,Y56,E40000003,London,756,ADD,1526582,Population
2021-03-31,Secondary Care,abemaciclib,QMM,E54000022,Norfolk and Waveney Health & Care Partnership STP,Y61,E40000007,East of England,504,ADD,1032661,Population
2021-03-31,Secondary Care,abemaciclib,QNC,E54000010,Staffordshire & Stoke on Trent STP,Y60,E40000008,Midlands,1659,ADD,1139794,Population
2021-03-31,Secondary Care,abemaciclib,QNQ,E54000034,Frimley Health & Care STP,Y59,E40000005,South East,84,ADD,746739,Population
2021-03-31,Secondary Care,abemaciclib,QNX,E54000053,Sussex Health and Care Partnership,Y59,E40000005,South East,1190,ADD,1711539,Population
2021-03-31,Secondary Care,abemaciclib,QOC,E54000011,Shropshire and Telford and Wrekin STP,Y60,E40000008,Midlands,476,ADD,506737,Population
2021-03-31,Secondary Care,abemaciclib,QOP,E54000007,Greater Manchester Health & Social Care Partnership,Y62,E40000010,North West,3339,ADD,2881890,Population
2021-03-31,Secondary Care,abemaciclib,QOQ,E54000051,"Humber, Coast and Vale STP",Y63,E40000009,North East and Yorkshire,2324,ADD,1708723,Population
2021-03-31,Secondary Care,abemaciclib,QOX,E54000040,"Bath and North East Somerset, Swindon and Wiltshire STP",Y58,E40000006,South West,672,ADD,929964,Population
2021-03-31,Secondary Care,abemaciclib,QPM,E54000020,Northamptonshire STP,Y60,E40000008,Midlands,1008,ADD,740111,Population
2021-03-31,Secondary Care,abemaciclib,QR1,E54000043,Gloucestershire STP,Y58,E40000006,South West,2716,ADD,640650,Population
2021-03-31,Secondary Care,abemaciclib,QRL,E54000042,Hampshire and the Isle of Wight STP,Y59,E40000005,South East,6146,ADD,1831473,Population
2021-03-31,Secondary Care,abemaciclib,QRV,E54000027,North West London Health & Care Partnership STP,Y56,E40000003,London,5509,ADD,2111469,Population
2021-03-31,Secondary Care,abemaciclib,QSL,E54000038,Somerset STP,Y58,E40000006,South West,168,ADD,563851,Population
2021-03-31,Secondary Care,abemaciclib,QT1,E54000014,Nottingham and Nottinghamshire Health and Care STP,Y60,E40000008,Midlands,3220,ADD,1052195,Population
2021-03-31,Secondary Care,abemaciclib,QT6,E54000036,Cornwall and the Isles of Scilly Health & Social Care Partnership STP,Y58,E40000006,South West,168,ADD,575525,Population
2021-03-31,Secondary Care,abemaciclib,QU9,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West STP",Y59,E40000005,South East,2072,ADD,1723447,Population
2021-03-31,Secondary Care,abemaciclib,QUA,E54000016,The Black Country and West Birmingham STP,Y60,E40000008,Midlands,2954,ADD,1380809,Population
2021-03-31,Secondary Care,abemaciclib,QUE,E54000021,Cambridgeshire and Peterborough STP,Y61,E40000007,East of England,336,ADD,896725,Population
2021-03-31,Secondary Care,abemaciclib,QUY,E54000039,"Bristol, North Somerset and South Gloucestershire STP",Y58,E40000006,South West,1708,ADD,969256,Population
2021-03-31,Secondary Care,abemaciclib,QVV,E54000041,Dorset STP,Y58,E40000006,South West,616,ADD,776780,Population
2021-03-31,Secondary Care,abemaciclib,QWE,E54000031,South West London Health & Care Partnership STP,Y56,E40000003,London,504,ADD,1509741,Population
2021-03-31,Secondary Care,abemaciclib,QWO,E54000054,West Yorkshire and Harrogate Health & Care Partnership STP,Y63,E40000009,North East and Yorkshire,2472,ADD,2396517,Population
2021-03-31,Secondary Care,abemaciclib,QWU,E54000018,Coventry and Warwickshire STP,Y60,E40000008,Midlands,924,ADD,963173,Population
2021-03-31,Secondary Care,abemaciclib,QXU,E54000052,Surrey Heartlands Health & Care Partnership STP,Y59,E40000005,South East,3199,ADD,1052425,Population
2021-03-31,Secondary Care,abemaciclib,QYG,E54000008,Cheshire and Merseyside STP,Y62,E40000010,North West,1092,ADD,2503902,Population
2021-03-31,Secondary Care,neratinib,QE1,E54000048,Lancashire and South Cumbria ICS,Y62,E40000010,North West,1691,ADD,1701655,Population
2021-03-31,Secondary Care,neratinib,QF7,E54000009,South Yorkshire and Bassetlaw STP,Y63,E40000009,North East and Yorkshire,1163,ADD,1533334,Population
2021-03-31,Secondary Care,neratinib,QH8,E54000026,Mid and South Essex STP,Y61,E40000007,East of England,453,ADD,1199296,Population
2021-03-31,Secondary Care,neratinib,QHG,E54000024,"Bedfordshire, Luton and Milton Keynes STP",Y61,E40000007,East of England,310,ADD,959098,Population
2021-03-31,Secondary Care,neratinib,QHL,E54000017,Birmingham and Solihull STP,Y60,E40000008,Midlands,1200,ADD,1179731,Population
2021-03-31,Secondary Care,neratinib,QHM,E54000050,Cumbria and North East STP,Y63,E40000009,North East and Yorkshire,140,ADD,3000432,Population
2021-03-31,Secondary Care,neratinib,QJ2,E54000012,Joined Up Care Derbyshire STP,Y60,E40000008,Midlands,960,ADD,1030393,Population
2021-03-31,Secondary Care,neratinib,QJK,E54000037,Devon STP,Y58,E40000006,South West,574,ADD,1209773,Population
2021-03-31,Secondary Care,neratinib,QK1,E54000015,"Leicester, Leicestershire and Rutland STP",Y60,E40000008,Midlands,660,ADD,1107597,Population
2021-03-31,Secondary Care,neratinib,QKK,E54000030,Our Healthier South East London STP,Y56,E40000003,London,540,ADD,1818226,Population
2021-03-31,Secondary Care,neratinib,QKS,E54000032,Kent and Medway STP,Y59,E40000005,South East,90,ADD,1868199,Population
2021-03-31,Secondary Care,neratinib,QMF,E54000029,East London Health & Care Partnership STP,Y56,E40000003,London,224,ADD,2036470,Population
2021-03-31,Secondary Care,neratinib,QNC,E54000010,Staffordshire & Stoke on Trent STP,Y60,E40000008,Midlands,600,ADD,1139794,Population
2021-03-31,Secondary Care,neratinib,QNX,E54000053,Sussex Health and Care Partnership,Y59,E40000005,South East,203,ADD,1711539,Population
2021-03-31,Secondary Care,neratinib,QOP,E54000007,Greater Manchester Health & Social Care Partnership,Y62,E40000010,North West,1944,ADD,2881890,Population
2021-03-31,Secondary Care,neratinib,QOQ,E54000051,"Humber, Coast and Vale STP",Y63,E40000009,North East and Yorkshire,338,ADD,1708723,Population
2021-03-31,Secondary Care,neratinib,QOX,E54000040,"Bath and North East Somerset, Swindon and Wiltshire STP",Y58,E40000006,South West,180,ADD,929964,Population
2021-03-31,Secondary Care,neratinib,QPM,E54000020,Northamptonshire STP,Y60,E40000008,Midlands,90,ADD,740111,Population
2021-03-31,Secondary Care,neratinib,QR1,E54000043,Gloucestershire STP,Y58,E40000006,South West,390,ADD,640650,Population
2021-03-31,Secondary Care,neratinib,QRL,E54000042,Hampshire and the Isle of Wight STP,Y59,E40000005,South East,360,ADD,1831473,Population
2021-03-31,Secondary Care,neratinib,QRV,E54000027,North West London Health & Care Partnership STP,Y56,E40000003,London,2223,ADD,2111469,Population
2021-03-31,Secondary Care,neratinib,QT1,E54000014,Nottingham and Nottinghamshire Health and Care STP,Y60,E40000008,Midlands,2055,ADD,1052195,Population
2021-03-31,Secondary Care,neratinib,QT6,E54000036,Cornwall and the Isles of Scilly Health & Social Care Partnership STP,Y58,E40000006,South West,120,ADD,575525,Population
2021-03-31,Secondary Care,neratinib,QU9,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West STP",Y59,E40000005,South East,150,ADD,1723447,Population
2021-03-31,Secondary Care,neratinib,QUA,E54000016,The Black Country and West Birmingham STP,Y60,E40000008,Midlands,1404,ADD,1380809,Population
2021-03-31,Secondary Care,neratinib,QUY,E54000039,"Bristol, North Somerset and South Gloucestershire STP",Y58,E40000006,South West,625,ADD,969256,Population
2021-03-31,Secondary Care,neratinib,QVV,E54000041,Dorset STP,Y58,E40000006,South West,85,ADD,776780,Population
2021-03-31,Secondary Care,neratinib,QWE,E54000031,South West London Health & Care Partnership STP,Y56,E40000003,London,150,ADD,1509741,Population
2021-03-31,Secondary Care,neratinib,QWO,E54000054,West Yorkshire and Harrogate Health & Care Partnership STP,Y63,E40000009,North East and Yorkshire,840,ADD,2396517,Population
2021-03-31,Secondary Care,neratinib,QWU,E54000018,Coventry and Warwickshire STP,Y60,E40000008,Midlands,513,ADD,963173,Population
2021-03-31,Secondary Care,neratinib,QXU,E54000052,Surrey Heartlands Health & Care Partnership STP,Y59,E40000005,South East,880,ADD,1052425,Population
2021-03-31,Secondary Care,neratinib,QYG,E54000008,Cheshire and Merseyside STP,Y62,E40000010,North West,496,ADD,2503902,Population
2021-03-31,Secondary Care,palbociclib,QE1,E54000048,Lancashire and South Cumbria ICS,Y62,E40000010,North West,11624,DDD,1701655,Population
2021-03-31,Secondary Care,palbociclib,QF7,E54000009,South Yorkshire and Bassetlaw STP,Y63,E40000009,North East and Yorkshire,12237,DDD,1533334,Population
2021-03-31,Secondary Care,palbociclib,QGH,E54000019,Herefordshire and Worcestershire STP,Y60,E40000008,Midlands,6717,DDD,791685,Population
2021-03-31,Secondary Care,palbociclib,QH8,E54000026,Mid and South Essex STP,Y61,E40000007,East of England,6166,DDD,1199296,Population
2021-03-31,Secondary Care,palbociclib,QHG,E54000024,"Bedfordshire, Luton and Milton Keynes STP",Y61,E40000007,East of England,3709,DDD,959098,Population
2021-03-31,Secondary Care,palbociclib,QHL,E54000017,Birmingham and Solihull STP,Y60,E40000008,Midlands,8579,DDD,1179731,Population
2021-03-31,Secondary Care,palbociclib,QHM,E54000050,Cumbria and North East STP,Y63,E40000009,North East and Yorkshire,24119,DDD,3000432,Population
2021-03-31,Secondary Care,palbociclib,QJ2,E54000012,Joined Up Care Derbyshire STP,Y60,E40000008,Midlands,3577,DDD,1030393,Population
2021-03-31,Secondary Care,palbociclib,QJG,E54000023,Suffolk and North East Essex ICS,Y61,E40000007,East of England,7015,DDD,987177,Population
2021-03-31,Secondary Care,palbociclib,QJK,E54000037,Devon STP,Y58,E40000006,South West,16172,DDD,1209773,Population
2021-03-31,Secondary Care,palbociclib,QJM,E54000013,Lincolnshire STP,Y60,E40000008,Midlands,2390,DDD,766333,Population
2021-03-31,Secondary Care,palbociclib,QK1,E54000015,"Leicester, Leicestershire and Rutland STP",Y60,E40000008,Midlands,2766,DDD,1107597,Population
2021-03-31,Secondary Care,palbociclib,QKK,E54000030,Our Healthier South East London STP,Y56,E40000003,London,11345,DDD,1818226,Population
2021-03-31,Secondary Care,palbociclib,QKS,E54000032,Kent and Medway STP,Y59,E40000005,South East,14480,DDD,1868199,Population
2021-03-31,Secondary Care,palbociclib,QM7,E54000025,Hertfordshire and West Essex STP,Y61,E40000007,East of England,9230,DDD,1488061,Population
2021-03-31,Secondary Care,palbociclib,QMF,E54000029,East London Health & Care Partnership STP,Y56,E40000003,London,11149,DDD,2036470,Population
2021-03-31,Secondary Care,palbociclib,QMJ,E54000028,North London Partners in Health & Care STP,Y56,E40000003,London,7272,DDD,1526582,Population
2021-03-31,Secondary Care,palbociclib,QMM,E54000022,Norfolk and Waveney Health & Care Partnership STP,Y61,E40000007,East of England,4798,DDD,1032661,Population
2021-03-31,Secondary Care,palbociclib,QNC,E54000010,Staffordshire & Stoke on Trent STP,Y60,E40000008,Midlands,3591,DDD,1139794,Population
2021-03-31,Secondary Care,palbociclib,QNQ,E54000034,Frimley Health & Care STP,Y59,E40000005,South East,1512,DDD,746739,Population
2021-03-31,Secondary Care,palbociclib,QNX,E54000053,Sussex Health and Care Partnership,Y59,E40000005,South East,9188,DDD,1711539,Population
2021-03-31,Secondary Care,palbociclib,QOC,E54000011,Shropshire and Telford and Wrekin STP,Y60,E40000008,Midlands,4915,DDD,506737,Population
2021-03-31,Secondary Care,palbociclib,QOP,E54000007,Greater Manchester Health & Social Care Partnership,Y62,E40000010,North West,15592,DDD,2881890,Population
2021-03-31,Secondary Care,palbociclib,QOQ,E54000051,"Humber, Coast and Vale STP",Y63,E40000009,North East and Yorkshire,8220,DDD,1708723,Population
2021-03-31,Secondary Care,palbociclib,QOX,E54000040,"Bath and North East Somerset, Swindon and Wiltshire STP",Y58,E40000006,South West,11142,DDD,929964,Population
2021-03-31,Secondary Care,palbociclib,QPM,E54000020,Northamptonshire STP,Y60,E40000008,Midlands,2994,DDD,740111,Population
2021-03-31,Secondary Care,palbociclib,QR1,E54000043,Gloucestershire STP,Y58,E40000006,South West,10092,DDD,640650,Population
2021-03-31,Secondary Care,palbociclib,QRL,E54000042,Hampshire and the Isle of Wight STP,Y59,E40000005,South East,8824,DDD,1831473,Population
2021-03-31,Secondary Care,palbociclib,QRV,E54000027,North West London Health & Care Partnership STP,Y56,E40000003,London,20379,DDD,2111469,Population
2021-03-31,Secondary Care,palbociclib,QSL,E54000038,Somerset STP,Y58,E40000006,South West,4894,DDD,563851,Population
2021-03-31,Secondary Care,palbociclib,QT1,E54000014,Nottingham and Nottinghamshire Health and Care STP,Y60,E40000008,Midlands,5948,DDD,1052195,Population
2021-03-31,Secondary Care,palbociclib,QT6,E54000036,Cornwall and the Isles of Scilly Health & Social Care Partnership STP,Y58,E40000006,South West,4641,DDD,575525,Population
2021-03-31,Secondary Care,palbociclib,QU9,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West STP",Y59,E40000005,South East,6793,DDD,1723447,Population
2021-03-31,Secondary Care,palbociclib,QUA,E54000016,The Black Country and West Birmingham STP,Y60,E40000008,Midlands,5512,DDD,1380809,Population
2021-03-31,Secondary Care,palbociclib,QUE,E54000021,Cambridgeshire and Peterborough STP,Y61,E40000007,East of England,2273,DDD,896725,Population
2021-03-31,Secondary Care,palbociclib,QUY,E54000039,"Bristol, North Somerset and South Gloucestershire STP",Y58,E40000006,South West,5812,DDD,969256,Population
2021-03-31,Secondary Care,palbociclib,QVV,E54000041,Dorset STP,Y58,E40000006,South West,7160,DDD,776780,Population
2021-03-31,Secondary Care,palbociclib,QWE,E54000031,South West London Health & Care Partnership STP,Y56,E40000003,London,2351,DDD,1509741,Population
2021-03-31,Secondary Care,palbociclib,QWO,E54000054,West Yorkshire and Harrogate Health & Care Partnership STP,Y63,E40000009,North East and Yorkshire,10609,DDD,2396517,Population
2021-03-31,Secondary Care,palbociclib,QWU,E54000018,Coventry and Warwickshire STP,Y60,E40000008,Midlands,6048,DDD,963173,Population
2021-03-31,Secondary Care,palbociclib,QXU,E54000052,Surrey Heartlands Health & Care Partnership STP,Y59,E40000005,South East,10433,DDD,1052425,Population
2021-03-31,Secondary Care,palbociclib,QYG,E54000008,Cheshire and Merseyside STP,Y62,E40000010,North West,9195,DDD,2503902,Population
2021-03-31,Secondary Care,pembrolizumab,QE1,E54000048,Lancashire and South Cumbria ICS,Y62,E40000010,North West,176000,mgs,1701655,Population
2021-03-31,Secondary Care,pembrolizumab,QF7,E54000009,South Yorkshire and Bassetlaw STP,Y63,E40000009,North East and Yorkshire,99025,mgs,1533334,Population
2021-03-31,Secondary Care,pembrolizumab,QGH,E54000019,Herefordshire and Worcestershire STP,Y60,E40000008,Midlands,48800,mgs,791685,Population
2021-03-31,Secondary Care,pembrolizumab,QH8,E54000026,Mid and South Essex STP,Y61,E40000007,East of England,111400,mgs,1199296,Population
2021-03-31,Secondary Care,pembrolizumab,QHG,E54000024,"Bedfordshire, Luton and Milton Keynes STP",Y61,E40000007,East of England,39200,mgs,959098,Population
2021-03-31,Secondary Care,pembrolizumab,QHL,E54000017,Birmingham and Solihull STP,Y60,E40000008,Midlands,177000,mgs,1179731,Population
2021-03-31,Secondary Care,pembrolizumab,QHM,E54000050,Cumbria and North East STP,Y63,E40000009,North East and Yorkshire,189700,mgs,3000432,Population
2021-03-31,Secondary Care,pembrolizumab,QJ2,E54000012,Joined Up Care Derbyshire STP,Y60,E40000008,Midlands,55600,mgs,1030393,Population
2021-03-31,Secondary Care,pembrolizumab,QJG,E54000023,Suffolk and North East Essex ICS,Y61,E40000007,East of England,36800,mgs,987177,Population
2021-03-31,Secondary Care,pembrolizumab,QJK,E54000037,Devon STP,Y58,E40000006,South West,1653504,mgs,1209773,Population
2021-03-31,Secondary Care,pembrolizumab,QJM,E54000013,Lincolnshire STP,Y60,E40000008,Midlands,66800,mgs,766333,Population
2021-03-31,Secondary Care,pembrolizumab,QK1,E54000015,"Leicester, Leicestershire and Rutland STP",Y60,E40000008,Midlands,75500,mgs,1107597,Population
2021-03-31,Secondary Care,pembrolizumab,QKK,E54000030,Our Healthier South East London STP,Y56,E40000003,London,120500,mgs,1818226,Population
2021-03-31,Secondary Care,pembrolizumab,QKS,E54000032,Kent and Medway STP,Y59,E40000005,South East,155600,mgs,1868199,Population
2021-03-31,Secondary Care,pembrolizumab,QM7,E54000025,Hertfordshire and West Essex STP,Y61,E40000007,East of England,96500,mgs,1488061,Population
2021-03-31,Secondary Care,pembrolizumab,QMF,E54000029,East London Health & Care Partnership STP,Y56,E40000003,London,115600,mgs,2036470,Population
2021-03-31,Secondary Care,pembrolizumab,QMJ,E54000028,North London Partners in Health & Care STP,Y56,E40000003,London,61300,mgs,1526582,Population
2021-03-31,Secondary Care,pembrolizumab,QMM,E54000022,Norfolk and Waveney Health & Care Partnership STP,Y61,E40000007,East of England,86650,mgs,1032661,Population
2021-03-31,Secondary Care,pembrolizumab,QNC,E54000010,Staffordshire & Stoke on Trent STP,Y60,E40000008,Midlands,66600,mgs,1139794,Population
2021-03-31,Secondary Care,pembrolizumab,QNQ,E54000034,Frimley Health & Care STP,Y59,E40000005,South East,4600,mgs,746739,Population
2021-03-31,Secondary Care,pembrolizumab,QNX,E54000053,Sussex Health and Care Partnership,Y59,E40000005,South East,68800,mgs,1711539,Population
2021-03-31,Secondary Care,pembrolizumab,QOC,E54000011,Shropshire and Telford and Wrekin STP,Y60,E40000008,Midlands,18600,mgs,506737,Population
2021-03-31,Secondary Care,pembrolizumab,QOP,E54000007,Greater Manchester Health & Social Care Partnership,Y62,E40000010,North West,179600,mgs,2881890,Population
2021-03-31,Secondary Care,pembrolizumab,QOQ,E54000051,"Humber, Coast and Vale STP",Y63,E40000009,North East and Yorkshire,85000,mgs,1708723,Population
2021-03-31,Secondary Care,pembrolizumab,QOX,E54000040,"Bath and North East Somerset, Swindon and Wiltshire STP",Y58,E40000006,South West,58375,mgs,929964,Population
2021-03-31,Secondary Care,pembrolizumab,QPM,E54000020,Northamptonshire STP,Y60,E40000008,Midlands,33000,mgs,740111,Population
2021-03-31,Secondary Care,pembrolizumab,QR1,E54000043,Gloucestershire STP,Y58,E40000006,South West,24200,mgs,640650,Population
2021-03-31,Secondary Care,pembrolizumab,QRL,E54000042,Hampshire and the Isle of Wight STP,Y59,E40000005,South East,148570,mgs,1831473,Population
2021-03-31,Secondary Care,pembrolizumab,QRV,E54000027,North West London Health & Care Partnership STP,Y56,E40000003,London,213300,mgs,2111469,Population
2021-03-31,Secondary Care,pembrolizumab,QSL,E54000038,Somerset STP,Y58,E40000006,South West,43500,mgs,563851,Population
2021-03-31,Secondary Care,pembrolizumab,QT1,E54000014,Nottingham and Nottinghamshire Health and Care STP,Y60,E40000008,Midlands,90800,mgs,1052195,Population
2021-03-31,Secondary Care,pembrolizumab,QT6,E54000036,Cornwall and the Isles of Scilly Health & Social Care Partnership STP,Y58,E40000006,South West,89400,mgs,575525,Population
2021-03-31,Secondary Care,pembrolizumab,QU9,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West STP",Y59,E40000005,South East,104400,mgs,1723447,Population
2021-03-31,Secondary Care,pembrolizumab,QUA,E54000016,The Black Country and West Birmingham STP,Y60,E40000008,Midlands,48800,mgs,1380809,Population
2021-03-31,Secondary Care,pembrolizumab,QUE,E54000021,Cambridgeshire and Peterborough STP,Y61,E40000007,East of England,72600,mgs,896725,Population
2021-03-31,Secondary Care,pembrolizumab,QUY,E54000039,"Bristol, North Somerset and South Gloucestershire STP",Y58,E40000006,South West,59000,mgs,969256,Population
2021-03-31,Secondary Care,pembrolizumab,QVV,E54000041,Dorset STP,Y58,E40000006,South West,58400,mgs,776780,Population
2021-03-31,Secondary Care,pembrolizumab,QWE,E54000031,South West London Health & Care Partnership STP,Y56,E40000003,London,17800,mgs,1509741,Population
2021-03-31,Secondary Care,pembrolizumab,QWO,E54000054,West Yorkshire and Harrogate Health & Care Partnership STP,Y63,E40000009,North East and Yorkshire,141750,mgs,2396517,Population
2021-03-31,Secondary Care,pembrolizumab,QWU,E54000018,Coventry and Warwickshire STP,Y60,E40000008,Midlands,47650,mgs,963173,Population
2021-03-31,Secondary Care,pembrolizumab,QXU,E54000052,Surrey Heartlands Health & Care Partnership STP,Y59,E40000005,South East,94400,mgs,1052425,Population
2021-03-31,Secondary Care,pembrolizumab,QYG,E54000008,Cheshire and Merseyside STP,Y62,E40000010,North West,408800,mgs,2503902,Population
2021-03-31,Secondary Care,ribociclib,QE1,E54000048,Lancashire and South Cumbria ICS,Y62,E40000010,North West,793,ADD,1701655,Population
2021-03-31,Secondary Care,ribociclib,QF7,E54000009,South Yorkshire and Bassetlaw STP,Y63,E40000009,North East and Yorkshire,1195,ADD,1533334,Population
2021-03-31,Secondary Care,ribociclib,QGH,E54000019,Herefordshire and Worcestershire STP,Y60,E40000008,Midlands,112,ADD,791685,Population
2021-03-31,Secondary Care,ribociclib,QH8,E54000026,Mid and South Essex STP,Y61,E40000007,East of England,579,ADD,1199296,Population
2021-03-31,Secondary Care,ribociclib,QHG,E54000024,"Bedfordshire, Luton and Milton Keynes STP",Y61,E40000007,East of England,831,ADD,959098,Population
2021-03-31,Secondary Care,ribociclib,QHL,E54000017,Birmingham and Solihull STP,Y60,E40000008,Midlands,1036,ADD,1179731,Population
2021-03-31,Secondary Care,ribociclib,QHM,E54000050,Cumbria and North East STP,Y63,E40000009,North East and Yorkshire,1008,ADD,3000432,Population
2021-03-31,Secondary Care,ribociclib,QJ2,E54000012,Joined Up Care Derbyshire STP,Y60,E40000008,Midlands,103,ADD,1030393,Population
2021-03-31,Secondary Care,ribociclib,QJG,E54000023,Suffolk and North East Essex ICS,Y61,E40000007,East of England,3715,ADD,987177,Population
2021-03-31,Secondary Care,ribociclib,QJK,E54000037,Devon STP,Y58,E40000006,South West,2221,ADD,1209773,Population
2021-03-31,Secondary Care,ribociclib,QJM,E54000013,Lincolnshire STP,Y60,E40000008,Midlands,56,ADD,766333,Population
2021-03-31,Secondary Care,ribociclib,QK1,E54000015,"Leicester, Leicestershire and Rutland STP",Y60,E40000008,Midlands,2595,ADD,1107597,Population
2021-03-31,Secondary Care,ribociclib,QKK,E54000030,Our Healthier South East London STP,Y56,E40000003,London,3239,ADD,1818226,Population
2021-03-31,Secondary Care,ribociclib,QKS,E54000032,Kent and Medway STP,Y59,E40000005,South East,532,ADD,1868199,Population
2021-03-31,Secondary Care,ribociclib,QM7,E54000025,Hertfordshire and West Essex STP,Y61,E40000007,East of England,495,ADD,1488061,Population
2021-03-31,Secondary Care,ribociclib,QMF,E54000029,East London Health & Care Partnership STP,Y56,E40000003,London,308,ADD,2036470,Population
2021-03-31,Secondary Care,ribociclib,QMJ,E54000028,North London Partners in Health & Care STP,Y56,E40000003,London,924,ADD,1526582,Population
2021-03-31,Secondary Care,ribociclib,QMM,E54000022,Norfolk and Waveney Health & Care Partnership STP,Y61,E40000007,East of England,280,ADD,1032661,Population
2021-03-31,Secondary Care,ribociclib,QNC,E54000010,Staffordshire & Stoke on Trent STP,Y60,E40000008,Midlands,1111,ADD,1139794,Population
2021-03-31,Secondary Care,ribociclib,QNQ,E54000034,Frimley Health & Care STP,Y59,E40000005,South East,719,ADD,746739,Population
2021-03-31,Secondary Care,ribociclib,QNX,E54000053,Sussex Health and Care Partnership,Y59,E40000005,South East,1867,ADD,1711539,Population
2021-03-31,Secondary Care,ribociclib,QOC,E54000011,Shropshire and Telford and Wrekin STP,Y60,E40000008,Midlands,252,ADD,506737,Population
2021-03-31,Secondary Care,ribociclib,QOP,E54000007,Greater Manchester Health & Social Care Partnership,Y62,E40000010,North West,1563,ADD,2881890,Population
2021-03-31,Secondary Care,ribociclib,QOQ,E54000051,"Humber, Coast and Vale STP",Y63,E40000009,North East and Yorkshire,2595,ADD,1708723,Population
2021-03-31,Secondary Care,ribociclib,QOX,E54000040,"Bath and North East Somerset, Swindon and Wiltshire STP",Y58,E40000006,South West,401,ADD,929964,Population
2021-03-31,Secondary Care,ribociclib,QPM,E54000020,Northamptonshire STP,Y60,E40000008,Midlands,152,ADD,740111,Population
2021-03-31,Secondary Care,ribociclib,QRL,E54000042,Hampshire and the Isle of Wight STP,Y59,E40000005,South East,1867,ADD,1831473,Population
2021-03-31,Secondary Care,ribociclib,QRV,E54000027,North West London Health & Care Partnership STP,Y56,E40000003,London,2736,ADD,2111469,Population
2021-03-31,Secondary Care,ribociclib,QSL,E54000038,Somerset STP,Y58,E40000006,South West,75,ADD,563851,Population
2021-03-31,Secondary Care,ribociclib,QT1,E54000014,Nottingham and Nottinghamshire Health and Care STP,Y60,E40000008,Midlands,1316,ADD,1052195,Population
2021-03-31,Secondary Care,ribociclib,QT6,E54000036,Cornwall and the Isles of Scilly Health & Social Care Partnership STP,Y58,E40000006,South West,1979,ADD,575525,Population
2021-03-31,Secondary Care,ribociclib,QU9,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West STP",Y59,E40000005,South East,2044,ADD,1723447,Population
2021-03-31,Secondary Care,ribociclib,QUA,E54000016,The Black Country and West Birmingham STP,Y60,E40000008,Midlands,196,ADD,1380809,Population
2021-03-31,Secondary Care,ribociclib,QUE,E54000021,Cambridgeshire and Peterborough STP,Y61,E40000007,East of England,392,ADD,896725,Population
2021-03-31,Secondary Care,ribociclib,QUY,E54000039,"Bristol, North Somerset and South Gloucestershire STP",Y58,E40000006,South West,84,ADD,969256,Population
2021-03-31,Secondary Care,ribociclib,QVV,E54000041,Dorset STP,Y58,E40000006,South West,84,ADD,776780,Population
2021-03-31,Secondary Care,ribociclib,QWE,E54000031,South West London Health & Care Partnership STP,Y56,E40000003,London,19,ADD,1509741,Population
2021-03-31,Secondary Care,ribociclib,QWO,E54000054,West Yorkshire and Harrogate Health & Care Partnership STP,Y63,E40000009,North East and Yorkshire,1259,ADD,2396517,Population
2021-03-31,Secondary Care,ribociclib,QWU,E54000018,Coventry and Warwickshire STP,Y60,E40000008,Midlands,168,ADD,963173,Population
2021-03-31,Secondary Care,ribociclib,QXU,E54000052,Surrey Heartlands Health & Care Partnership STP,Y59,E40000005,South East,663,ADD,1052425,Population
2021-03-31,Secondary Care,ribociclib,QYG,E54000008,Cheshire and Merseyside STP,Y62,E40000010,North West,28,ADD,2503902,Population
2021-03-31,Secondary Care,trastuzumab emtansine,QE1,E54000048,Lancashire and South Cumbria ICS,Y62,E40000010,North West,2666,ADD,1701655,Population
2021-03-31,Secondary Care,trastuzumab emtansine,QF7,E54000009,South Yorkshire and Bassetlaw STP,Y63,E40000009,North East and Yorkshire,2305,ADD,1533334,Population
2021-03-31,Secondary Care,trastuzumab emtansine,QGH,E54000019,Herefordshire and Worcestershire STP,Y60,E40000008,Midlands,1763,ADD,791685,Population
2021-03-31,Secondary Care,trastuzumab emtansine,QH8,E54000026,Mid and South Essex STP,Y61,E40000007,East of England,1228,ADD,1199296,Population
2021-03-31,Secondary Care,trastuzumab emtansine,QHG,E54000024,"Bedfordshire, Luton and Milton Keynes STP",Y61,E40000007,East of England,1213,ADD,959098,Population
2021-03-31,Secondary Care,trastuzumab emtansine,QHL,E54000017,Birmingham and Solihull STP,Y60,E40000008,Midlands,3599,ADD,1179731,Population
